Geneid	SRR26327154
81629	407
55108	2699
728116	0
653121	4
339487	206
5928	1621
81493	15
57648	209
8565	2961
64766	445
252995	11
3208	5
113452	0
127544	1620
204	334
113451	62
55223	393
149076	509
127550	6
1912	1155
100500853	6
101929464	1
7579	9
114784	0
127540	0
402779	0
84970	0
693137	0
2709	0
127534	0
2707	0
2701	3
113444	603
58512	32
653160	39
100506144	37
9204	588
79830	113
6421	7484
9202	757
79932	503
23154	137
339488	93
5690	649
127703	25
63967	12
192670	1123
26523	1666
192669	880
27285	12
54936	265
1296	45
27095	407
55700	3517
9967	4928
79729	1141
55194	204
83931	1349
84967	298
127700	62
64960	212
1441	5787
2899	0
100422898	0
728431	18
80149	4727
102465438	16
64769	507
100847010	7
79753	952
7802	7
29889	479
284654	0
54955	172
55143	6
284656	0
149175	14
79693	247
127687	114
4520	1304
3633	549
10946	999
2275	259
51118	174
5453	4
100500801	0
339442	0
64121	1065
100527950	5
26292	0
81025	0
54933	15
79647	1824
4725	226
23499	5012
643314	882
105378950	5
353500	50
728448	65
8761	2298
101929516	17
677834	19
26508	0
84618	39
51440	283
10450	376
656	67
64064	1
105378951	3
101929536	0
54802	156
4610	31
84879	757
10487	2859
5538	357
6018	3012
127391	5
10269	258
1298	30
64744	4949
65243	42
339559	11
64789	73
127396	18
9783	31
100130557	91
4802	253
407034	0
407031	3
9132	2
163732	27
1503	248
100507178	38
200172	74
22955	316
100132074	4
1907	4
59269	458
2981	1
2980	0
22887	2152
284716	1
84217	7
79717	229
728621	7
10465	287
4904	1855
149461	3
64175	255
79078	130
100129924	49
374969	81
114625	75
51058	15
339539	0
6513	716
440584	14
105378684	0
440585	0
10969	48
102465439	0
149465	0
128218	3
149466	0
7075	4
4352	13
991	23
64834	340
102466723	1
112950	239
23334	2353
102465440	4
81888	22
5792	5
9682	864
100132774	25
6487	88
101929592	5
102464830	0
9048	1
9670	57
1802	92
533	1166
8704	14
149473	1
6536	5
128209	0
105378952	0
55929	374
79033	85
100874278	17
55182	962
100847089	0
79639	6
339541	139
26828	39
26830	0
11004	27
6202	12530
26811	31
94161	9
94162	11
94163	10
266675	88
1263	3027
343521	244
149478	347
8643	76
8891	33
79654	361
7389	244
57643	29
400752	7
84842	35
4595	191
114034	460
10420	342
126661	51
25974	28
5052	280
10327	154
4678	440
149483	224
60313	1837
728963	46
51249	124
3652	54
23139	87
8503	37
101929626	0
10103	12
55624	124
541468	1
8438	70
10489	274
7388	325
387338	259
2166	66
729041	2
101929651	1
127343	0
100507423	34
148930	2
8569	457
148932	103
64756	93
374973	36
100130197	23
9813	1536
1580	0
163720	0
1579	0
260293	0
199974	0
284541	0
100874253	2
10158	5
6886	32
6491	163
51727	887
102724077	8
2301	0
84793	21
2306	13
388630	0
391037	0
200010	3
54558	14
84871	3
79656	60
101929721	0
100874313	0
1996	2
63950	0
11124	277
1031	68
100616189	0
102466656	0
284546	0
26994	1105
22996	58
102724097	0
2060	1942
114883	766
4898	589
100313892	0
5865	0
51060	468
112970	0
104355143	12
91408	294
9372	72
200014	1121
4998	141
84950	475
23318	3142
105378722	2
2882	152
348378	91
65260	42
79699	449
440590	6
55268	199
6342	225
100616156	2
100616458	0
100616145	0
127435	2
6512	0
1376	172
54987	104
4116	240
100507564	1
7804	117
163742	0
63948	0
148979	0
105369175	0
55706	219
54432	135
1733	15
51668	72
115353	94
388633	0
9528	951
127428	136
100616315	0
200008	0
606495	12
51253	391
23648	143
619518	59
26027	3
338094	0
374977	0
100527960	0
7268	9
25973	6
55001	22
163747	1
1718	16
100126514	0
199964	0
7809	0
255738	4
23358	5270
100507634	28
100616272	0
8613	80
5563	0
199920	0
731	0
732	0
1600	1
101926890	0
115209	205
4070	23
114803	1580
3725	3856
100131060	16
101926925	0
729467	0
55277	48
100616409	0
101926944	0
51361	92
1573	0
127795	0
101926964	0
100996570	0
4774	7
645030	0
414927	4
83941	82
10207	493
100422902	0
100422946	0
54596	0
163782	0
7398	547
85440	68
27329	0
84938	13
199899	0
100996301	0
27022	0
102464823	0
29929	80
23421	22
84455	95
79469	6
5236	97
4919	32
101927034	13
148581	0
57685	26
100616338	0
55225	432
3716	10531
101927084	8
105378775	58
100500854	2
406893	2
205	7
9829	11
54741	339
3953	26
5142	2417
101927139	0
84251	0
100422871	0
200132	3
10022	0
79819	29
57708	1641
23169	462
400757	3
149233	19
3595	158
26135	944
1647	59
55970	0
100289178	0
9077	0
79971	16
100302279	0
6121	0
55635	0
101927220	0
57554	69
5301	0
55631	397
9295	4124
81573	732
11147	1
1491	3
101927244	0
5733	4
100132618	10
9406	616
406962	15
100852410	0
257194	1
100852409	0
101927295	0
127255	0
100526835	0
8790	0
51086	0
105378804	0
105378803	0
127254	1
101927320	0
1429	44
127253	130
431707	0
204962	6
34	86
1744	119
5876	886
692085	17
26805	30
26804	12
4438	9
127247	0
101927342	0
256435	8
81849	0
102466995	0
10026	44
26289	30
26009	573
23032	1079
374986	521
374987	4
91624	164
8880	2093
11080	100
54810	0
149047	0
5737	0
10964	160
10561	1211
64123	0
101927412	0
23266	0
101927434	0
101927498	0
101927587	0
101927560	1
79739	2
5567	768
148418	0
391051	1
58511	0
80135	342
2787	183
100505741	65
1486	494
103695366	0
439927	0
117178	81
23566	12
255231	395
55283	0
126820	0
100616481	0
84144	96
148423	428
8915	986
646626	7
23576	8
3491	0
54680	303
255631	11
57489	437
102465842	0
9635	0
1179	0
22802	0
9629	2
105378828	6
51100	1967
9403	948
9653	133
339524	0
101927844	0
105378832	0
8543	305
100505768	8
101927891	11
5586	1155
2959	538
56267	255
494115	1092
2635	463
2633	1594
2634	5988
388646	13
115361	3496
115362	2685
729930	0
163351	2
400759	13
23507	589
84230	1370
400761	34
55144	613
105378846	35
492303	5
284695	571
343472	0
84146	2260
164045	1
8317	62
7049	447
676	3
253152	3
646817	20
284697	3
23285	17
388649	0
11146	119
79871	352
2672	679
7813	122
6125	7260
388650	262
6083	10
26782	3
22823	773
50999	1000
343099	146
100131564	223
1810	1288
54874	5
100126520	0
8412	52
100129046	10
100126348	1
100189133	0
30836	1282
2730	106
24	2
9411	0
5825	134
2152	14
101928079	0
100616321	0
126969	2
1266	22
105378862	0
729970	2
199857	21
101928098	7
148534	3
100527978	5
101928118	0
25950	61
440594	0
100996635	0
102723661	0
101928241	0
58155	494
1806	400
100873932	0
100873933	14
400765	0
100616452	0
406928	0
729987	0
51375	0
163404	0
100129620	0
9890	0
101928270	0
54873	0
391059	22
178	298
23443	287
64645	1997
163786	116
54482	62
127495	33
1629	183
100506007	3
8634	449
693138	0
8556	1215
54112	2
100128787	0
7412	0
2135	22
148867	1014
51611	151
102606465	34
101928334	0
101928370	20
1901	1844
104355286	0
118427	0
94236	0
1301	0
101928436	0
55599	241
280	75
648740	20
279	0
276	0
277	0
278	0
100129138	0
101928476	0
55170	71
22854	5
10451	370
102465839	0
100873946	0
29957	109
148545	0
653149	0
284611	343
113802	60
55119	923
163479	134
6814	639
254268	0
642864	0
29899	10
23155	73
22911	187
6884	60
56900	1806
677766	11116
127003	15
57535	72
6301	1797
1952	55
84722	18
343263	1
6272	473
5686	383
284612	0
127002	56
284613	285
57463	290
83873	22
2773	804
406974	5
2780	16
271	1507
2948	29
2946	36
2944	0
2949	1
2947	14
79574	0
1435	776
10768	548
85369	1041
257	40
104355139	1
164153	0
388662	1
100873974	4
3749	41
440600	5
64783	2116
9122	76
10542	511
101410535	4
84432	0
643160	0
440602	0
3744	0
3737	5
3738	2839
963	4893
55791	199
128338	443
10390	450
79961	933
1117	57
149620	0
27159	0
128344	15
441897	2
5016	310
79084	258
515	556
128346	154
57413	0
140	3
100129269	6
5906	1105
55924	419
100506343	6
101928718	4
11218	664
3752	6
100874295	0
100873995	0
643355	0
55917	33
100422976	0
7482	7
54879	211
829	2569
4343	1256
389	196
333926	25
284467	1
100996702	0
6566	183
246182	4
100506392	70
100996251	4
9860	726
643441	0
260425	5
10745	131
54665	1308
100287722	15
26191	530
440603	24
10717	330
64858	170
101928846	42
204851	9493
56944	5
148281	0
51592	2042
10286	408
163259	13
270	2
4893	1032
7812	10648
80143	376
6847	0
7252	0
10100	22
4803	0
81839	27
845	0
4808	0
101928995	0
101928977	3
55356	104
126868	5
476	3733
