Geneid	SRR26327157
100287102	1
653635	38
102466751	0
100302278	0
645520	0
79501	0
729737	363
102725121	12
102723897	64
102465909	0
729759	1
100132287	12
105378947	0
101928626	0
102465432	1
81399	0
100133331	8
100288069	39
400728	24
79854	41
643837	101
284593	0
100130417	0
148398	6
26155	320
339451	60
84069	9
84808	0
57801	37
9636	171
375790	112
105369174	8
105378948	22
401934	0
54991	99
254099	0
406984	0
406983	0
554210	0
254173	5
8784	17
7293	47
51150	773
126792	126
388581	13
118424	397
6339	40
116983	450
102465434	0
126789	102
54973	545
102465435	0
80772	157
83756	46
1855	256
102466740	2
54587	55
54998	472
81669	1351
148413	204
55052	220
441869	0
643965	0
102724312	0
64856	2
219293	8
83858	259
55210	87
339453	4
29101	476
643988	37
142678	472
8510	13
984	784
728661	885
8511	4
728642	555
9906	374
65220	3335
2782	2887
105378949	231
163688	3
339456	0
85452	0
2563	0
5590	130
100506504	36
199990	229
105378592	2
6497	1271
105378594	35
79906	48
100129534	9
11079	387
5192	66
9651	14
55229	0
388585	0
115110	0
8764	1
100996583	1
127281	0
79258	2
100287898	0
140625	0
440556	0
63976	2
100422968	0
27237	6
1953	912
693135	0
127262	562
49856	182
7161	17
57212	194
148870	2
388588	9
57470	408
9731	273
1677	94
339448	207
100133612	0
728716	0
284661	0
55966	42
100616489	0
100616421	0
261734	156
8514	2645
26038	7
6146	494
102724450	0
388591	33
23463	119
148645	0
390992	0
387509	8
11332	33
54626	0
83715	18
100422975	0
8718	433
57449	67
79707	412
80835	111
3104	765
9903	1460
148479	335
90326	91
55735	151
100505887	0
23261	85
9341	585
8863	83
10911	7
3604	95
11315	483
54206	2
102724539	0
50651	1
473	1406
102724552	16
2023	3868
102465436	1
100505975	2
765	64
155184	6
6518	23
80045	53
407040	0
9563	1620
80176	17
100506022	1
84275	98
199953	116
5293	6287
644997	272
101929074	104
22883	1612
56998	254
84328	111
64802	59
100847055	0
105376719	3
116362	187
10277	760
23095	1156
100422970	1
5226	2110
100526739	0
378708	1
1325	1
1676	117
5195	135
54897	234
148345	12
23435	915
10747	122
6723	139
5394	332
2475	874
100873935	9
10218	23
29914	183
57540	10
101929181	0
26232	20
93611	242
26270	130
10459	176
374946	17
57085	739
284498	13
102724659	3
4524	1167
1185	297
100379251	14
4878	11
4879	3
26829	47
90231	493
5351	347
9927	1172
60672	311
102466982	0
943	60
102465836	0
7133	7406
100616438	3
55187	2069
677885	7
9249	364
102466722	5
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	5
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	1940
23254	52
200197	0
55092	15
727684	3
114827	9
101927417	0
79180	7985
11330	34
63036	3
51032	22
842	306
23341	199
79814	65
84301	136
6248	27
23207	2028
284723	71
388595	0
54751	1
440567	33
729614	296
23013	2792
7709	526
101928566	0
149563	0
27129	0
1187	0
1188	0
348487	0
1969	10
128272	49
101927546	14
79363	61
54455	479
26099	1905
374955	237
55707	851
114819	128
26871	47
100126512	6
100126517	2
102724970	0
100133301	0
7195	0
55672	39
84809	168
11209	14
26869	0
729574	0
100126533	16
284729	17
100189045	0
102723383	0
6060	4
11223	3
100500876	0
100189298	0
7193	5
791226	0
9696	338
26870	141
4237	1
23400	430
6390	297
11240	1175
29943	0
51702	0
100616188	0
23569	1414
353238	10
55920	1126
55160	408
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	140
100616120	0
100302276	4
126917	1068
23352	5167
23065	647
51154	92
246181	5
22977	21
100506730	10
8574	189
54896	495
832	3375
100532736	0
440574	190
644068	339
4681	19
3362	40
255104	204
54546	0
23252	179
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	28
101928017	5
127731	0
339505	2
55450	9
79594	367
163933	0
978	849
65018	242
102464833	0
100861548	209
1650	806
57576	5
400745	6
50809	1496
8672	665
100302155	1
1889	4096
100506801	668
84224	31
249	2701
5909	196
84196	579
401944	13
3339	88
23436	0
10136	1
101928043	13
29092	59
998	2372
54361	41
100616433	0
9923	708
2046	0
102466615	0
712	21
714	0
713	1
2048	8
100616391	0
100422914	0
646262	3
729059	0
23028	381
100422866	0
100616177	3
7798	377
3352	0
100996511	0
10236	552
80818	64
148898	25
6920	70
55616	6
1870	128
101928163	6
3399	58
259283	24
6135	1473
6924	311
100506963	14
57095	354
11313	462
2582	78
3155	77
2517	133
1269	108
100616492	0
55629	346
10772	668
127294	1
58985	0
163702	45
284632	0
57822	0
90529	11
57185	276
100750325	16
11123	763
100506985	108
400746	6
10250	1253
25932	252
864	2128
102465437	17
100616365	2
25949	279
57035	3141
6007	136
23585	389
6006	7
55219	263
26119	743
57134	252
57190	534
56181	175
646471	67
79000	6
164091	108
3925	52
100500808	0
5051	127
2134	0
7780	0
105376910	0
84676	0
149420	66
79927	0
105376887	0
51042	43
10256	7
378807	0
101928303	0
64793	182
83442	1538
91544	1008
1043	1063
55057	30
257101	21
79727	4
79947	214
101928324	17
3151	562
6195	2637
100302190	7
101928728	89
8289	2591
55650	98
84243	5319
2810	75
54707	280
63906	316
10726	174
8431	1
126695	8
388610	39
115572	25
6548	1053
23038	1371
84065	250
644961	111
100887744	0
84958	910
9064	104
8547	0
388611	2
2827	34
10163	3299
27245	236
2268	5401
2537	223
199870	162
23673	222
5511	107
677774	3
9473	5983
6118	239
27293	29
55113	724
2140	235
5724	2710
22826	234
93974	89
83667	1253
54797	63
65979	285
1104	101
8420	349
6080	274
26768	248
54952	115
85028	70
692212	4
677838	0
677825	13
692073	11
115273	3
6883	153
26824	163
10691	200
105376911	2
51441	644
4985	0
2035	2596
399474	24
6429	476
51102	37
10076	4
101928460	0
101929406	0
4146	44
100129196	139
7805	12446
100616164	32
400748	0
9672	21
9698	1187
692234	0
692235	3
692200	5
79570	0
9410	183
51538	91
2170	2
347735	12
149086	3
284551	3
64129	2
3061	106
553115	561
1307	1
576	21
100423028	1
90853	19
8073	2237
10657	1290
55116	111
100847018	0
23633	913
200081	570
79140	108
56063	213
55721	107
149069	76
8668	635
339483	29
84734	3
3932	946
3065	671
65108	829
100128071	34
81629	148
55108	1311
728116	0
653121	2
339487	88
5928	696
81493	3
57648	62
8565	439
64766	214
252995	0
3208	1
113452	0
127544	2375
204	451
113451	160
55223	351
149076	328
127550	13
1912	2597
100500853	12
101929464	1
7579	6
114784	0
127540	0
402779	0
84970	0
693137	0
2709	0
127534	0
2707	0
2701	1
113444	350
58512	25
653160	28
100506144	57
9204	231
79830	45
6421	3175
9202	340
79932	734
23154	205
339488	53
5690	379
127703	57
63967	29
192670	1830
26523	1123
192669	616
27285	13
54936	171
1296	87
27095	191
55700	3516
9967	1420
79729	131
55194	87
83931	2371
84967	252
127700	7
64960	124
1441	19243
2899	2
100422898	0
728431	26
80149	3721
102465438	24
64769	301
100847010	2
79753	477
7802	33
29889	277
284654	0
54955	45
55143	15
284656	1
149175	25
79693	247
127687	142
4520	947
3633	346
10946	432
2275	290
51118	56
5453	0
100500801	0
339442	0
64121	196
100527950	1
26292	5
81025	0
54933	3
79647	1156
4725	136
23499	5817
643314	131
105378950	6
353500	41
728448	58
8761	1092
101929516	10
677834	5
26508	2
84618	8
51440	100
10450	187
656	27
64064	0
105378951	7
101929536	1
54802	79
4610	222
