Geneid	SRR26327155
100287102	4
653635	38
102466751	0
100302278	0
645520	0
79501	0
729737	374
102725121	12
102723897	69
102465909	0
729759	0
100132287	11
105378947	0
101928626	0
102465432	2
81399	0
100133331	3
100288069	26
400728	48
79854	44
643837	128
284593	0
100130417	2
148398	14
26155	282
339451	117
84069	24
84808	4
57801	231
9636	544
375790	169
105369174	4
105378948	15
401934	0
54991	125
254099	0
406984	0
406983	0
554210	0
254173	3
8784	49
7293	126
51150	895
126792	61
388581	39
118424	502
6339	67
116983	541
102465434	0
126789	84
54973	780
102465435	0
80772	178
83756	89
1855	330
102466740	0
54587	48
54998	435
81669	1966
148413	305
55052	229
441869	0
643965	0
102724312	0
64856	5
219293	23
83858	854
55210	62
339453	2
29101	529
643988	26
142678	635
8510	18
984	678
728661	584
8511	4
728642	475
9906	213
65220	1887
2782	3781
105378949	108
163688	5
339456	1
85452	0
2563	1
5590	140
100506504	42
199990	325
105378592	1
6497	3297
105378594	289
79906	52
100129534	10
11079	391
5192	79
9651	36
55229	0
388585	0
115110	0
8764	0
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	0
63976	1
100422968	0
27237	6
1953	615
693135	0
127262	556
49856	169
7161	9
57212	224
148870	5
388588	18
57470	553
9731	203
1677	69
339448	311
100133612	3
728716	0
284661	0
55966	10
100616489	0
100616421	0
261734	116
8514	3340
26038	19
6146	649
102724450	1
388591	63
23463	77
148645	2
390992	1
387509	64
11332	52
54626	0
83715	63
100422975	0
8718	1564
57449	75
79707	653
80835	67
3104	641
9903	1663
148479	638
90326	91
55735	151
100505887	0
23261	157
9341	652
8863	86
10911	1
3604	64
11315	475
54206	16
102724539	0
50651	4
473	1994
102724552	13
2023	2986
102465436	0
100505975	2
765	17
155184	1
6518	24
80045	53
407040	0
9563	1034
80176	29
100506022	7
84275	31
199953	123
5293	6648
644997	202
101929074	73
22883	1760
56998	188
84328	114
64802	30
100847055	0
105376719	3
116362	73
10277	727
23095	1215
100422970	1
5226	2002
100526739	0
378708	1
1325	3
1676	59
5195	157
54897	728
148345	1
23435	1100
10747	198
6723	162
5394	594
2475	900
100873935	5
10218	21
29914	261
57540	4
101929181	0
26232	25
93611	285
26270	188
10459	236
374946	5
57085	514
284498	19
102724659	2
4524	1528
1185	458
100379251	11
4878	18
4879	1
26829	109
90231	343
5351	281
9927	2065
60672	375
102466982	0
943	60
102465836	0
7133	10991
100616438	7
55187	2236
677885	8
9249	778
102466722	11
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	19
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	4079
23254	26
200197	0
55092	146
727684	13
114827	8
101927417	1
79180	11684
11330	43
63036	8
51032	12
842	251
23341	155
79814	20
84301	365
6248	153
23207	3262
284723	112
388595	0
54751	0
440567	25
729614	153
23013	5160
7709	814
101928566	0
149563	0
27129	0
1187	0
1188	0
348487	0
1969	15
128272	45
101927546	6
79363	43
54455	820
26099	3074
374955	141
55707	881
114819	154
26871	58
100126512	14
100126517	9
102724970	0
100133301	0
7195	0
55672	38
84809	213
11209	13
26869	3
729574	0
100126533	14
284729	1
100189045	0
102723383	0
6060	0
11223	1
100500876	0
100189298	0
7193	0
791226	0
9696	374
26870	75
4237	6
23400	476
6390	334
11240	1820
29943	2
51702	0
100616188	0
23569	444
353238	1
55920	1667
55160	203
81569	0
101927876	0
84966	0
127707	3
5081	0
80834	0
8659	62
100616120	0
100302276	0
126917	942
23352	7569
23065	481
51154	87
246181	4
22977	10
100506730	7
8574	70
54896	563
832	2794
100532736	0
440574	140
644068	304
4681	51
3362	16
255104	194
54546	0
23252	222
30814	0
5320	0
5322	0
26279	0
64600	1
