Geneid	SRR26327153
100287102	0
653635	61
102466751	0
100302278	0
645520	0
79501	0
729737	70
102725121	6
102723897	76
102465909	0
729759	0
100132287	6
105378947	0
101928626	0
102465432	1
81399	0
100133331	13
100288069	38
400728	41
79854	39
643837	134
284593	0
100130417	0
148398	31
26155	361
339451	65
84069	9
84808	11
57801	114
9636	334
375790	112
105369174	19
105378948	38
401934	2
54991	155
254099	6
406984	0
406983	0
554210	0
254173	32
8784	79
7293	130
51150	692
126792	83
388581	121
118424	522
6339	51
116983	281
102465434	0
126789	87
54973	875
102465435	0
80772	169
83756	131
1855	331
102466740	0
54587	48
54998	290
81669	2473
148413	388
55052	288
441869	3
643965	0
102724312	0
64856	0
219293	0
83858	579
55210	79
339453	8
29101	464
643988	3
142678	310
8510	13
984	655
728661	765
8511	0
728642	349
9906	133
65220	1488
2782	3125
105378949	148
163688	3
339456	0
85452	1
2563	0
5590	91
100506504	27
199990	181
105378592	3
6497	2340
105378594	163
79906	23
100129534	2
11079	281
5192	83
9651	14
55229	0
388585	0
115110	0
8764	0
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	0
63976	2
100422968	0
27237	3
1953	316
693135	0
127262	567
49856	301
7161	39
57212	270
148870	24
388588	9
57470	575
9731	368
1677	64
339448	261
100133612	2
728716	0
284661	0
55966	1
100616489	0
100616421	0
261734	70
8514	2865
26038	19
6146	876
102724450	5
388591	105
23463	75
148645	0
390992	0
387509	15
11332	29
54626	0
83715	34
100422975	0
8718	2111
57449	29
79707	903
80835	129
3104	644
9903	1844
148479	383
90326	219
55735	282
100505887	0
23261	258
9341	436
8863	57
10911	1
3604	103
11315	461
54206	16
102724539	0
50651	0
473	1436
102724552	7
2023	2519
102465436	5
100505975	4
765	20
155184	2
6518	114
80045	79
407040	0
9563	664
80176	16
100506022	1
84275	76
199953	177
5293	5886
644997	154
101929074	45
22883	1394
56998	142
84328	128
64802	23
100847055	0
105376719	0
116362	9
10277	991
23095	494
100422970	0
5226	841
100526739	1
378708	4
1325	5
