Geneid	SRR26327156
100287102	0
653635	25
102466751	0
100302278	0
645520	0
79501	0
729737	149
102725121	10
102723897	49
102465909	0
729759	0
100132287	7
105378947	0
101928626	0
102465432	3
81399	0
100133331	4
100288069	21
400728	26
79854	26
643837	210
284593	0
100130417	1
148398	12
26155	297
339451	85
84069	24
84808	0
57801	38
9636	418
375790	150
105369174	8
105378948	18
401934	0
54991	104
254099	0
406984	0
406983	0
554210	0
254173	17
8784	196
7293	160
51150	807
126792	60
388581	41
118424	510
6339	24
116983	353
102465434	0
126789	66
54973	552
102465435	0
80772	143
83756	58
1855	279
102466740	0
54587	16
54998	405
81669	2116
148413	271
55052	251
441869	0
643965	0
102724312	0
64856	0
219293	2
83858	240
55210	31
339453	3
29101	460
643988	4
142678	447
8510	6
984	668
728661	829
8511	5
728642	495
9906	216
65220	1836
2782	4025
105378949	117
163688	0
339456	4
85452	0
2563	0
5590	109
100506504	18
199990	186
105378592	3
6497	6482
105378594	259
79906	28
100129534	0
11079	358
5192	36
9651	16
55229	0
388585	0
115110	0
8764	1
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	13
1953	499
693135	0
127262	639
49856	211
7161	13
57212	227
148870	3
388588	2
57470	382
9731	221
1677	100
339448	357
100133612	0
728716	0
284661	0
55966	14
100616489	0
100616421	0
261734	143
8514	3846
26038	10
6146	663
102724450	0
388591	30
23463	87
148645	1
390992	0
387509	250
11332	28
54626	0
83715	51
100422975	0
8718	1359
57449	50
79707	670
80835	49
3104	519
9903	1045
148479	177
90326	140
55735	182
100505887	0
23261	160
9341	751
8863	70
10911	38
3604	99
11315	484
54206	11
102724539	0
50651	0
473	1391
102724552	17
2023	4829
102465436	0
100505975	0
765	66
155184	28
6518	51
80045	99
407040	0
9563	1566
80176	144
100506022	5
84275	35
199953	106
5293	4051
644997	145
101929074	61
22883	1349
56998	201
84328	156
64802	27
100847055	0
105376719	0
116362	37
10277	869
23095	1020
100422970	1
5226	1383
100526739	0
378708	3
1325	0
1676	89
5195	172
54897	436
148345	2
23435	1061
10747	100
6723	129
5394	683
2475	1142
100873935	11
10218	36
29914	347
57540	0
101929181	0
26232	5
93611	239
26270	171
10459	211
374946	4
57085	327
284498	5
102724659	2
4524	1406
1185	442
100379251	5
4878	9
4879	1
26829	66
90231	505
5351	460
9927	2063
60672	305
102466982	0
943	65
102465836	0
7133	10064
100616438	5
55187	2744
677885	9
9249	1879
102466722	4
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	7
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	1
7799	3207
23254	15
200197	12
55092	251
727684	20
114827	25
101927417	3
79180	8695
11330	47
63036	12
51032	8
842	286
23341	180
79814	49
84301	487
6248	234
23207	2722
284723	47
388595	1
54751	1
440567	33
729614	100
23013	3448
7709	762
101928566	0
149563	0
27129	0
1187	0
1188	0
348487	0
1969	50
128272	39
101927546	14
79363	45
54455	736
26099	2580
374955	148
55707	731
114819	154
26871	67
100126512	6
100126517	0
102724970	0
100133301	0
7195	0
55672	36
84809	246
11209	5
26869	4
729574	0
100126533	3
284729	2
100189045	0
102723383	0
6060	8
11223	0
100500876	0
100189298	0
7193	0
791226	0
9696	155
26870	50
4237	3
23400	429
6390	355
11240	2856
29943	0
51702	0
100616188	0
23569	299
353238	3
55920	1416
55160	290
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	4
8659	64
100616120	0
100302276	2
126917	1137
23352	9632
23065	652
51154	86
246181	2
22977	25
100506730	28
8574	136
54896	435
832	3062
100532736	0
440574	132
644068	297
4681	19
3362	29
255104	175
54546	0
23252	207
30814	1
5320	0
5322	0
26279	0
64600	4
391013	2
127733	33
101928017	9
127731	1
339505	0
55450	29
79594	546
163933	0
978	274
65018	171
102464833	0
100861548	213
1650	1129
57576	7
400745	8
50809	2238
8672	1109
100302155	2
1889	6669
100506801	656
84224	47
249	932
5909	84
84196	760
401944	2
3339	40
23436	0
10136	0
101928043	2
29092	36
998	3169
54361	17
100616433	0
9923	870
2046	1
102466615	0
712	17
714	5
713	13
2048	73
100616391	0
100422914	0
646262	0
729059	0
23028	629
100422866	3
100616177	1
7798	911
3352	0
100996511	3
10236	895
80818	99
148898	15
6920	33
55616	10
1870	45
101928163	0
3399	36
259283	15
6135	2146
6924	534
100506963	2
57095	524
11313	330
2582	82
3155	126
2517	107
1269	71
100616492	0
55629	668
10772	1207
127294	0
58985	0
163702	141
284632	0
57822	1
90529	10
57185	358
100750325	8
11123	900
100506985	107
400746	1
10250	2516
25932	379
864	9308
102465437	15
100616365	7
25949	578
57035	1522
6007	141
23585	634
6006	4
55219	885
26119	618
57134	406
57190	604
56181	247
646471	71
79000	8
164091	78
3925	74
100500808	0
5051	759
2134	0
7780	0
105376910	0
84676	0
149420	177
79927	0
105376887	0
51042	20
10256	0
378807	0
101928303	0
64793	162
83442	1309
91544	529
1043	1339
55057	53
257101	144
79727	2
79947	227
101928324	34
3151	583
6195	1983
100302190	0
101928728	51
8289	3214
55650	114
84243	5473
2810	77
54707	364
63906	398
10726	256
8431	0
126695	5
388610	20
115572	5
6548	853
23038	874
84065	465
644961	179
