Geneid	SRR26327152
100287102	2
653635	47
102466751	0
100302278	0
645520	0
79501	0
729737	181
102725121	7
102723897	68
102465909	0
729759	0
100132287	9
105378947	0
101928626	0
102465432	4
81399	0
100133331	3
100288069	31
400728	32
79854	58
643837	160
284593	0
100130417	1
148398	33
26155	188
339451	48
84069	11
84808	2
57801	41
9636	57
375790	58
105369174	41
105378948	37
401934	6
54991	72
254099	0
406984	0
406983	0
554210	0
254173	5
8784	36
7293	68
51150	408
126792	40
388581	46
118424	426
6339	67
116983	322
102465434	0
126789	73
54973	497
102465435	3
80772	177
83756	163
1855	294
102466740	4
54587	68
54998	263
81669	2637
148413	438
55052	401
441869	4
643965	0
102724312	0
64856	0
219293	4
83858	261
55210	39
339453	9
29101	495
643988	8
142678	385
8510	0
984	716
728661	407
8511	0
728642	746
9906	484
65220	823
2782	1532
105378949	232
163688	3
339456	0
85452	0
2563	0
5590	103
100506504	29
199990	200
105378592	9
6497	2774
105378594	320
79906	42
100129534	6
11079	299
5192	110
9651	22
55229	0
388585	0
115110	0
8764	0
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	0
63976	2
100422968	0
27237	0
1953	602
693135	0
127262	332
49856	171
7161	25
57212	184
148870	17
388588	23
57470	612
9731	209
1677	43
339448	231
100133612	0
728716	0
284661	0
55966	4
100616489	0
100616421	0
261734	58
8514	1769
26038	12
6146	706
102724450	4
388591	92
23463	22
148645	0
390992	0
387509	7
11332	28
54626	0
83715	93
100422975	0
8718	2737
57449	107
79707	1211
80835	132
3104	891
9903	2387
148479	160
90326	287
55735	270
100505887	0
23261	231
9341	364
8863	128
10911	5
3604	49
11315	380
54206	6
102724539	0
50651	1
473	1694
102724552	20
2023	2637
102465436	10
100505975	23
765	17
155184	5
6518	29
80045	23
407040	0
9563	352
80176	32
100506022	8
84275	93
199953	179
5293	2897
644997	155
101929074	55
22883	809
56998	54
84328	80
64802	37
100847055	0
105376719	0
116362	25
10277	809
23095	396
100422970	0
5226	534
100526739	3
378708	4
1325	7
1676	119
5195	138
54897	3526
148345	3
23435	1482
10747	248
6723	61
5394	1154
2475	1463
100873935	12
10218	40
29914	319
57540	7
101929181	0
26232	9
93611	220
26270	51
10459	133
374946	16
57085	129
284498	26
102724659	5
4524	742
1185	522
100379251	14
4878	13
4879	5
26829	153
90231	135
5351	84
9927	1329
60672	181
102466982	0
943	40
102465836	0
7133	1585
100616438	0
55187	2809
677885	6
9249	2710
102466722	24
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	12
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	4856
23254	19
200197	2
55092	59
727684	11
114827	17
101927417	1
79180	4485
11330	79
63036	3
51032	16
842	230
23341	107
79814	23
84301	618
6248	208
23207	5285
284723	152
388595	0
54751	5
440567	44
729614	179
23013	3764
7709	1007
101928566	0
149563	0
27129	3
1187	0
1188	2
348487	0
1969	47
128272	32
101927546	26
79363	110
54455	1104
26099	2816
374955	237
55707	989
114819	286
26871	175
100126512	2
100126517	0
102724970	0
100133301	0
7195	0
55672	37
84809	204
11209	29
26869	8
729574	0
100126533	6
284729	3
100189045	0
102723383	0
6060	4
11223	2
100500876	0
100189298	0
7193	1
791226	0
9696	317
26870	313
4237	2
23400	362
6390	363
11240	492
29943	0
51702	2
100616188	0
23569	166
353238	2
55920	870
55160	50
81569	0
101927876	0
84966	0
127707	4
5081	0
80834	1
8659	60
100616120	0
100302276	0
126917	3214
23352	11676
23065	832
51154	207
246181	30
22977	24
100506730	15
8574	72
54896	722
832	1465
100532736	0
440574	139
644068	379
4681	56
3362	11
255104	138
54546	0
23252	499
30814	0
5320	0
5322	0
26279	0
64600	2
391013	7
127733	22
101928017	0
127731	5
339505	0
55450	8
79594	527
163933	0
978	229
65018	188
102464833	0
100861548	529
1650	703
57576	19
400745	15
50809	1166
8672	278
100302155	2
1889	4080
100506801	343
84224	27
249	459
5909	35
84196	971
401944	6
3339	42
23436	0
10136	0
101928043	27
29092	88
998	3024
54361	125
100616433	0
9923	794
2046	0
102466615	0
712	11
714	6
713	2
2048	4
100616391	0
100422914	0
646262	0
729059	0
23028	819
100422866	2
100616177	5
7798	1237
3352	0
100996511	12
10236	1099
80818	119
148898	23
6920	135
55616	32
1870	24
101928163	0
3399	289
259283	26
6135	3573
6924	469
100506963	12
57095	904
11313	322
2582	126
3155	69
2517	44
1269	114
100616492	0
55629	595
10772	2095
127294	0
58985	0
163702	122
284632	0
57822	0
90529	18
57185	290
100750325	14
11123	832
100506985	86
400746	3
10250	3254
25932	224
864	7057
102465437	14
100616365	9
25949	623
57035	2336
6007	71
23585	478
6006	32
55219	1214
26119	577
57134	183
57190	519
56181	107
646471	132
79000	5
164091	50
3925	46
100500808	0
5051	215
2134	2
7780	1
105376910	0
84676	0
149420	183
79927	0
105376887	0
51042	22
10256	15
378807	1
101928303	0
64793	151
83442	685
91544	290
1043	288
55057	7
257101	14
79727	0
79947	186
101928324	15
3151	373
6195	834
100302190	0
101928728	150
8289	4261
55650	213
84243	4423
2810	149
54707	508
63906	753
10726	501
8431	2
126695	62
388610	10
115572	18
6548	1235
23038	412
84065	603
644961	317
100887744	0
84958	363
9064	40
